MA,ML,MG,CL,CAE3ra,CAE4ta,LCCM,CG,XA,XL,XG,"Forma: ov (1), bi (2), pa (3), x (0)","Foramen: r (1), o (2), x (0).",Foramen,OS: A. M-E,O: A. E-X,Edad,Sexo: H (1) /M (2)
61,44,12,75,22,20,119,12,21,20,5,1,0,2,0,1,61,1
67,46,10,98,42,43,144,15,30,45,5,2,0,0,0,2,58,2
53,45,13,78,32,40,123,12,23,36,6,3,0,1,0,2,83,1
72,41,15,92,27,28,133,12,0,0,0,0,0,0,1,0,35,1
66,58,12,90,40,41,148,14,26,23,5,1,0,0,0,2,50,1
59,48,13,120,30,37,168,13,0,0,0,0,0,0,0,1,29,1
55,65,14,87,38,35,152,15,0,35,5,3,0,0,0,2,45,1
59,47,14,81,31,29,128,11,19,46,5,2,0,0,0,2,72,1
73,67,17,92,25,22,159,17,0,0,0,0,0,0,0,0,74,1
70,56,14,111,35,43,167,17,27,0,4,3,0,0,0,2,52,1
53,39,11,71,31,26,110,10,19,0,3,3,2,0,0,0,58,1
60,55,14,99,38,42,154,14,20,38,5,3,1,1,0,2,59,1
59,44,11,108,31,38,152,11,15,41,4,2,0,0,0,1,78,1
53,45,12,94,35,30,139,11,0,0,0,0,0,0,0,0,45,1
63,53,13,105,34,41,158,12,28,29,6,3,2,0,2,2,68,1
56,48,12,104,28,30,152,11,21,41,7,3,1,0,1,1,60,1
55,45,13,98,31,30,130,11,21,30,6,3,0,0,2,2,71,2
50,41,10,92,27,30,133,10,20,27,4,3,0,0,0,0,48,1
73,42,17,74,26,27,116,20,0,0,0,0,0,0,0,0,64,1
66,40,12,97,24,27,137,13,15,36,3,3,0,0,0,0,83,1
76,55,15,124,31,28,179,12,33,43,5,3,2,0,0,0,60,1
52,46,12,72,27,26,118,12,17,29,5,1,0,0,0,0,73,1
43,31,15,91,21,26,122,12,13,28,4,3,0,0,0,2,48,1
53,41,12,97,36,35,138,12,0,0,0,0,0,0,0,0,55,2
47,42,12,82,31,35,124,11,0,0,0,0,0,0,1,0,44,1
72,44,12,95,27,36,139,10,17,14,8,3,0,0,0,1,74,1
51,42,14,74,35,34,116,12,21,27,7,3,1,0,0,2,78,1
62,47,10,97,26,28,144,8,0,0,0,0,0,0,0,0,67,2
71,49,14,123,24,25,172,15,0,0,0,0,0,0,0,0,42,1
73,41,12,99,26,23,140,13,30,33,5,3,2,0,0,1,62,2
88,56,16,95,36,31,151,15,0,0,0,1,0,1,2,2,67,1
50,49,17,111,31,32,160,11,31,69,5,3,3,1,0,2,65,1
40,52,14,113,29,36,165,20,23,31,6,3,0,0,0,2,89,1
81,55,15,109,31,31,164,13,22,46,4,3,1,0,0,0,77,1
93,46,11,142,26,24,142,13,29,50,5,3,0,0,2,2,74,1
68,49,13,97,21,21,146,15,0,0,0,0,0,0,0,0,78,1
69,60,13,106,26,34,166,15,23,20,5,1,1,0,0,2,66,1
89,46,15,104,24,28,110,14,0,0,0,0,0,0,0,0,71,1
58,53,14,119,34,36,172,12,0,0,0,0,0,0,0,0,46,1
59,48,12,88,49,42,136,13,0,0,0,0,0,0,0,0,65,1
47,44,14,92,26,26,136,12,0,0,0,0,0,0,0,0,27,1
50,55,15,102,31,28,157,13,37,36,5,1,1,0,0,1,68,1
86,41,13,101,34,31,127,17,25,40,5,3,0,0,2,2,79,1
60,48,15,92,21,30,140,13,0,0,0,0,0,0,1,0,35,1
46,32,10,89,30,28,121,10,16,23,3,3,0,0,0,0,82,1
77,49,14,114,30,34,163,15,30,32,6,0,0,0,0,2,52,1
62,53,13,95,36,35,148,10,20,30,6,0,0,0,2,0,76,1
75,49,16,93,23,25,142,16,18,32,5,3,0,0,0,2,98,1
66,53,14,108,25,24,161,13,0,0,0,0,0,0,2,0,66,1
